tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
"C106, handwritten_only, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),3 (75.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, handwritten_only, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C106, handwritten_only, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, handwritten_only, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, mixed_print_hand, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, mixed_print_hand, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, mixed_print_hand, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, no_flip, printed_only, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C413, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C413, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C413, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C413, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C413, handwritten_only, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C413, handwritten_only, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C413, handwritten_only, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C413, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, mixed_print_hand, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C413, mixed_print_hand, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C413, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, no_flip, printed_only, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, no_flip, printed_only, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C445, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, handwritten_only, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, handwritten_only, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, handwritten_only, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, mixed_print_hand, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, mixed_print_hand, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, mixed_print_hand, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, no_flip, printed_only, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),4 (50.00%),4 (50.00%)
"C505, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, handwritten_only, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, handwritten_only, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, handwritten_only, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, handwritten_only, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, handwritten_only, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, mixed_print_hand, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, mixed_print_hand, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, mixed_print_hand, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, mixed_print_hand, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, mixed_print_hand, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, mixed_print_hand, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, no_flip, printed_only, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, no_flip, printed_only, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, no_flip, printed_only, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, no_flip, printed_only, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, no_flip, printed_only, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, no_flip, printed_only, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C603, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, handwritten_only, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, handwritten_only, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, handwritten_only, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, mixed_print_hand, no_flip, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, mixed_print_hand, no_flip, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, mixed_print_hand, no_flip, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, mixed_print_hand, no_flip, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, mixed_print_hand, no_flip, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, no_flip, printed_only, rot1, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, no_flip, printed_only, rot1, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, no_flip, printed_only, rot2, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot2, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C603, no_flip, printed_only, rot3, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot3, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
