tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
"C105, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C105, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),3 (37.50%),1 (12.50%),1 (12.50%)
"C105, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C105, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%),2 (50.00%)
"C105, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C105, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),4 (50.00%),4 (50.00%),4 (50.00%)
"C105, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),6 (75.00%),3 (37.50%),3 (37.50%)
"C105, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),3 (37.50%),2 (25.00%),2 (25.00%)
"C106, flip, handwritten_only, rot0, test",8,6 (75.00%),5 (62.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, flip, handwritten_only, rot1, test",8,5 (62.50%),4 (50.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, flip, handwritten_only, rot2, test",8,5 (62.50%),4 (50.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C106, flip, handwritten_only, rot3, test",8,7 (87.50%),5 (62.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot0, test",8,7 (87.50%),7 (87.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot2, test",8,8 (100.00%),7 (87.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot3, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),1 (25.00%),1 (25.00%),1 (25.00%)
"C106, handwritten_only, no_flip, rot0, train",4,4 (100.00%),2 (50.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot1, test",8,3 (37.50%),3 (37.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot2, test",8,7 (87.50%),5 (62.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot3, test",8,2 (25.00%),0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C106, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),7 (87.50%),5 (62.50%),1 (12.50%),1 (12.50%)
"C106, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),7 (87.50%),5 (62.50%),1 (12.50%),1 (12.50%)
"C106, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%),1 (25.00%)
"C106, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C106, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),4 (50.00%),4 (50.00%),4 (50.00%)
"C106, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%),1 (12.50%)
"C106, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%),3 (37.50%)
"C413, flip, handwritten_only, rot0, test",8,6 (75.00%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot1, test",8,6 (75.00%),5 (62.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot2, test",8,6 (75.00%),5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot3, test",8,5 (62.50%),4 (50.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot0, test",8,5 (62.50%),4 (50.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot1, test",8,7 (87.50%),7 (87.50%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot2, test",8,7 (87.50%),7 (87.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot3, test",8,8 (100.00%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot0, test",8,7 (87.50%),7 (87.50%),7 (87.50%),3 (37.50%),3 (37.50%)
"C413, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C413, handwritten_only, no_flip, rot0, train",4,4 (100.00%),3 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot1, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot2, test",8,7 (87.50%),6 (75.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot3, test",8,5 (62.50%),5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C413, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),3 (75.00%),1 (25.00%),1 (25.00%)
"C413, mixed_print_hand, no_flip, rot1, test",8,7 (87.50%),6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C413, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),3 (37.50%),2 (25.00%),2 (25.00%)
"C413, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),6 (75.00%),2 (25.00%),2 (25.00%)
"C413, no_flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),3 (37.50%),1 (12.50%),1 (12.50%)
"C445, flip, handwritten_only, rot0, test",8,4 (50.00%),4 (50.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot2, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot3, test",8,6 (75.00%),6 (75.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot0, test",8,8 (100.00%),7 (87.50%),6 (75.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot1, test",8,5 (62.50%),5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot2, test",8,6 (75.00%),4 (50.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot3, test",8,5 (62.50%),5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot0, test",8,8 (100.00%),7 (87.50%),5 (62.50%),2 (25.00%),2 (25.00%)
"C445, flip, printed_only, rot1, test",8,7 (87.50%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),6 (75.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot3, test",8,6 (75.00%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, handwritten_only, no_flip, rot1, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot2, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot3, test",8,7 (87.50%),7 (87.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, mixed_print_hand, no_flip, rot1, test",8,4 (50.00%),4 (50.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),1 (12.50%),1 (12.50%)
"C445, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C445, no_flip, printed_only, rot0, train",4,3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C445, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C445, no_flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),5 (62.50%),2 (25.00%),2 (25.00%)
"C445, no_flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),5 (62.50%),5 (62.50%)
"C505, flip, handwritten_only, rot0, test",8,6 (75.00%),6 (75.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot1, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot2, test",8,6 (75.00%),5 (62.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot3, test",8,4 (50.00%),4 (50.00%),1 (12.50%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot0, test",8,5 (62.50%),5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot1, test",8,6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot2, test",8,8 (100.00%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot3, test",8,6 (75.00%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot0, test",8,4 (50.00%),4 (50.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot2, test",8,6 (75.00%),6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot3, test",8,7 (87.50%),6 (75.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot0, train",4,3 (75.00%),3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot1, test",8,6 (75.00%),6 (75.00%),3 (37.50%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot3, test",8,7 (87.50%),7 (87.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C505, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),3 (75.00%),1 (25.00%),1 (25.00%)
"C505, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C505, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),5 (62.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, mixed_print_hand, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C505, mixed_print_hand, no_flip, rot3, test",8,7 (87.50%),6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C505, no_flip, printed_only, rot0, test",4,4 (100.00%),3 (75.00%),3 (75.00%),0 (0.00%),0 (0.00%)
"C505, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),2 (50.00%),0 (0.00%),0 (0.00%)
"C505, no_flip, printed_only, rot1, test",8,5 (62.50%),5 (62.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C505, no_flip, printed_only, rot2, test",8,5 (62.50%),5 (62.50%),3 (37.50%),1 (12.50%),1 (12.50%)
"C505, no_flip, printed_only, rot3, test",8,4 (50.00%),4 (50.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot0, test",8,6 (75.00%),6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot1, test",8,5 (62.50%),5 (62.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot2, test",8,6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot3, test",8,4 (50.00%),4 (50.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot0, test",8,5 (62.50%),5 (62.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot1, test",8,5 (62.50%),5 (62.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot2, test",8,7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot3, test",8,3 (37.50%),3 (37.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot0, test",8,5 (62.50%),5 (62.50%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot1, test",8,7 (87.50%),7 (87.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot2, test",8,6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C603, handwritten_only, no_flip, rot0, train",4,3 (75.00%),3 (75.00%),3 (75.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot1, test",8,7 (87.50%),7 (87.50%),4 (50.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot2, test",8,5 (62.50%),5 (62.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot3, test",8,6 (75.00%),6 (75.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot0, train",4,3 (75.00%),3 (75.00%),0 (0.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot1, test",8,6 (75.00%),6 (75.00%),4 (50.00%),1 (12.50%),1 (12.50%)
"C603, mixed_print_hand, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot3, test",8,5 (62.50%),5 (62.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),1 (25.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C603, no_flip, printed_only, rot1, test",8,7 (87.50%),7 (87.50%),3 (37.50%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot2, test",8,5 (62.50%),5 (62.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot3, test",8,6 (75.00%),6 (75.00%),3 (37.50%),0 (0.00%),0 (0.00%)
handwritten_only,384,286 (74.48%),267 (69.53%),131 (34.11%),11 (2.86%),11 (2.86%)
mixed_print_hand,384,331 (86.20%),314 (81.77%),156 (40.62%),17 (4.43%),17 (4.43%)
printed_only,384,343 (89.32%),339 (88.28%),170 (44.27%),64 (16.67%),64 (16.67%)
C105,192,171 (89.06%),171 (89.06%),55 (28.65%),21 (10.94%),21 (10.94%)
C106,192,169 (88.02%),153 (79.69%),54 (28.12%),16 (8.33%),16 (8.33%)
C413,192,167 (86.98%),158 (82.29%),105 (54.69%),20 (10.42%),20 (10.42%)
C445,192,160 (83.33%),155 (80.73%),126 (65.62%),30 (15.62%),30 (15.62%)
C505,192,153 (79.69%),143 (74.48%),75 (39.06%),2 (1.04%),2 (1.04%)
C603,192,140 (72.92%),140 (72.92%),42 (21.88%),3 (1.56%),3 (1.56%)
flip,576,463 (80.38%),443 (76.91%),191 (33.16%),10 (1.74%),10 (1.74%)
no_flip,576,497 (86.28%),477 (82.81%),266 (46.18%),82 (14.24%),82 (14.24%)
rot0,288,244 (84.72%),232 (80.56%),123 (42.71%),48 (16.67%),48 (16.67%)
rot1,288,240 (83.33%),232 (80.56%),118 (40.97%),19 (6.60%),19 (6.60%)
rot2,288,251 (87.15%),241 (83.68%),110 (38.19%),11 (3.82%),11 (3.82%)
rot3,288,225 (78.12%),215 (74.65%),106 (36.81%),14 (4.86%),14 (4.86%)
train,72,68 (94.44%),65 (90.28%),38 (52.78%),22 (30.56%),22 (30.56%)
test,1080,892 (82.59%),855 (79.17%),419 (38.80%),70 (6.48%),70 (6.48%)
summary,1152,960 (83.33%),920 (79.86%),457 (39.67%),92 (7.99%),92 (7.99%)
