tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
"C106, flip, handwritten_only, rot1, test",8,8 (100.00%),7 (87.50%),6 (75.00%),0 (0.00%),0 (0.00%)
"C106, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C106, flip, handwritten_only, rot3, test",8,8 (100.00%),7 (87.50%),6 (75.00%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C106, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, handwritten_only, no_flip, rot1, test",8,8 (100.00%),7 (87.50%),6 (75.00%),1 (12.50%),1 (12.50%)
"C106, handwritten_only, no_flip, rot2, test",8,8 (100.00%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C106, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C106, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),7 (87.50%),7 (87.50%)
"C106, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),7 (87.50%),7 (87.50%)
"C106, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),8 (100.00%),8 (100.00%)
"C413, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C413, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C413, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, handwritten_only, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),8 (100.00%),8 (100.00%)
"C413, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C413, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C445, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C445, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, handwritten_only, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C445, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),7 (87.50%),7 (87.50%),7 (87.50%)
"C445, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C445, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),7 (87.50%),7 (87.50%)
"C505, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, handwritten_only, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C505, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C505, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C505, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),5 (62.50%),5 (62.50%)
"C505, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C505, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C505, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C505, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C505, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C603, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C603, handwritten_only, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C603, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C603, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C603, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C603, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C603, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C603, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
handwritten_only,384,384 (100.00%),379 (98.70%),369 (96.09%),49 (12.76%),49 (12.76%)
mixed_print_hand,384,384 (100.00%),384 (100.00%),383 (99.74%),65 (16.93%),65 (16.93%)
printed_only,384,384 (100.00%),384 (100.00%),382 (99.48%),163 (42.45%),163 (42.45%)
C105,192,192 (100.00%),192 (100.00%),186 (96.88%),65 (33.85%),65 (33.85%)
C106,192,192 (100.00%),187 (97.40%),182 (94.79%),52 (27.08%),52 (27.08%)
C413,192,192 (100.00%),192 (100.00%),192 (100.00%),40 (20.83%),40 (20.83%)
C445,192,192 (100.00%),192 (100.00%),190 (98.96%),39 (20.31%),39 (20.31%)
C505,192,192 (100.00%),192 (100.00%),192 (100.00%),54 (28.12%),54 (28.12%)
C603,192,192 (100.00%),192 (100.00%),192 (100.00%),27 (14.06%),27 (14.06%)
flip,576,576 (100.00%),573 (99.48%),565 (98.09%),22 (3.82%),22 (3.82%)
no_flip,576,576 (100.00%),574 (99.65%),569 (98.78%),255 (44.27%),255 (44.27%)
rot0,288,288 (100.00%),287 (99.65%),287 (99.65%),140 (48.61%),140 (48.61%)
rot1,288,288 (100.00%),286 (99.31%),281 (97.57%),57 (19.79%),57 (19.79%)
rot2,288,288 (100.00%),287 (99.65%),283 (98.26%),27 (9.38%),27 (9.38%)
rot3,288,288 (100.00%),287 (99.65%),283 (98.26%),53 (18.40%),53 (18.40%)
train,72,72 (100.00%),72 (100.00%),72 (100.00%),65 (90.28%),65 (90.28%)
test,1080,1080 (100.00%),1075 (99.54%),1062 (98.33%),212 (19.63%),212 (19.63%)
summary,1152,1152 (100.00%),1147 (99.57%),1134 (98.44%),277 (24.05%),277 (24.05%)
