tag,total_count,json_correct,structure_correct,type_correct,edge_correct,all_correct
"C106, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C106, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, handwritten_only, no_flip, rot1, test",8,6 (75.00%),6 (75.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C106, handwritten_only, no_flip, rot3, test",8,7 (87.50%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C106, mixed_print_hand, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),2 (50.00%),2 (50.00%)
"C106, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C106, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C106, mixed_print_hand, no_flip, rot2, test",8,6 (75.00%),6 (75.00%),6 (75.00%),1 (12.50%),1 (12.50%)
"C106, mixed_print_hand, no_flip, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),1 (12.50%),1 (12.50%)
"C106, no_flip, printed_only, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C106, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C106, no_flip, printed_only, rot1, test",8,6 (75.00%),6 (75.00%),6 (75.00%),6 (75.00%),6 (75.00%)
"C106, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),6 (75.00%),6 (75.00%)
"C106, no_flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),7 (87.50%),7 (87.50%)
"C413, flip, handwritten_only, rot0, test",8,6 (75.00%),6 (75.00%),4 (50.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot2, test",8,6 (75.00%),6 (75.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot0, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, flip, mixed_print_hand, rot3, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C413, flip, printed_only, rot1, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, flip, printed_only, rot3, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C413, handwritten_only, no_flip, rot0, train",4,2 (50.00%),2 (50.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C413, handwritten_only, no_flip, rot1, test",8,7 (87.50%),7 (87.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot2, test",8,6 (75.00%),6 (75.00%),5 (62.50%),0 (0.00%),0 (0.00%)
"C413, handwritten_only, no_flip, rot3, test",8,3 (37.50%),3 (37.50%),2 (25.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C413, mixed_print_hand, no_flip, rot0, train",4,3 (75.00%),3 (75.00%),3 (75.00%),1 (25.00%),1 (25.00%)
"C413, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C413, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C413, no_flip, printed_only, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%),3 (75.00%)
"C413, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%),4 (100.00%)
"C413, no_flip, printed_only, rot1, test",8,5 (62.50%),5 (62.50%),5 (62.50%),5 (62.50%),5 (62.50%)
"C413, no_flip, printed_only, rot2, test",8,5 (62.50%),5 (62.50%),5 (62.50%),1 (12.50%),1 (12.50%)
"C413, no_flip, printed_only, rot3, test",8,6 (75.00%),6 (75.00%),6 (75.00%),5 (62.50%),5 (62.50%)
"C445, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C445, flip, printed_only, rot1, test",8,5 (62.50%),5 (62.50%),5 (62.50%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, flip, printed_only, rot3, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C445, handwritten_only, no_flip, rot1, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, handwritten_only, no_flip, rot3, test",8,8 (100.00%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),3 (75.00%),1 (25.00%),1 (25.00%)
"C445, mixed_print_hand, no_flip, rot0, train",4,2 (50.00%),2 (50.00%),2 (50.00%),1 (25.00%),1 (25.00%)
"C445, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C445, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),3 (75.00%),3 (75.00%)
"C445, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C445, no_flip, printed_only, rot1, test",8,7 (87.50%),7 (87.50%),7 (87.50%),4 (50.00%),4 (50.00%)
"C445, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C445, no_flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),3 (37.50%),3 (37.50%)
"C505, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, flip, handwritten_only, rot1, test",8,6 (75.00%),6 (75.00%),6 (75.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot1, test",8,8 (100.00%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),4 (50.00%),4 (50.00%)
"C505, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, flip, printed_only, rot3, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C505, handwritten_only, no_flip, rot0, test",4,4 (100.00%),3 (75.00%),3 (75.00%),2 (50.00%),2 (50.00%)
"C505, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, handwritten_only, no_flip, rot1, test",8,7 (87.50%),7 (87.50%),7 (87.50%),3 (37.50%),3 (37.50%)
"C505, handwritten_only, no_flip, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),1 (12.50%),1 (12.50%)
"C505, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C505, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C505, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),2 (25.00%),2 (25.00%)
"C505, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C505, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),4 (50.00%),4 (50.00%)
"C505, no_flip, printed_only, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),2 (50.00%),2 (50.00%)
"C505, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C505, no_flip, printed_only, rot1, test",8,7 (87.50%),7 (87.50%),7 (87.50%),3 (37.50%),3 (37.50%)
"C505, no_flip, printed_only, rot2, test",8,6 (75.00%),6 (75.00%),6 (75.00%),2 (25.00%),2 (25.00%)
"C505, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),3 (37.50%),3 (37.50%)
"C603, flip, handwritten_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, handwritten_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, mixed_print_hand, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot0, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot2, test",8,7 (87.50%),7 (87.50%),7 (87.50%),0 (0.00%),0 (0.00%)
"C603, flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot0, test",4,3 (75.00%),3 (75.00%),3 (75.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, handwritten_only, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C603, mixed_print_hand, no_flip, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),2 (50.00%),2 (50.00%)
"C603, mixed_print_hand, no_flip, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, mixed_print_hand, no_flip, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),1 (12.50%),1 (12.50%)
"C603, mixed_print_hand, no_flip, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, mixed_print_hand, no_flip, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot0, test",4,4 (100.00%),4 (100.00%),4 (100.00%),1 (25.00%),1 (25.00%)
"C603, no_flip, printed_only, rot0, train",4,4 (100.00%),4 (100.00%),4 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot1, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot2, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
"C603, no_flip, printed_only, rot3, test",8,8 (100.00%),8 (100.00%),8 (100.00%),0 (0.00%),0 (0.00%)
handwritten_only,384,357 (92.97%),354 (92.19%),302 (78.65%),28 (7.29%),28 (7.29%)
mixed_print_hand,384,368 (95.83%),366 (95.31%),319 (83.07%),31 (8.07%),31 (8.07%)
printed_only,384,342 (89.06%),342 (89.06%),311 (80.99%),94 (24.48%),94 (24.48%)
C105,192,183 (95.31%),183 (95.31%),65 (33.85%),25 (13.02%),25 (13.02%)
C106,192,174 (90.62%),173 (90.10%),172 (89.58%),43 (22.40%),43 (22.40%)
C413,192,158 (82.29%),158 (82.29%),147 (76.56%),27 (14.06%),27 (14.06%)
C445,192,179 (93.23%),177 (92.19%),177 (92.19%),18 (9.38%),18 (9.38%)
C505,192,183 (95.31%),181 (94.27%),181 (94.27%),34 (17.71%),34 (17.71%)
C603,192,190 (98.96%),190 (98.96%),190 (98.96%),6 (3.12%),6 (3.12%)
flip,576,542 (94.10%),541 (93.92%),474 (82.29%),16 (2.78%),16 (2.78%)
no_flip,576,525 (91.15%),521 (90.45%),458 (79.51%),137 (23.78%),137 (23.78%)
rot0,288,270 (93.75%),268 (93.06%),237 (82.29%),79 (27.43%),79 (27.43%)
rot1,288,265 (92.01%),264 (91.67%),226 (78.47%),29 (10.07%),29 (10.07%)
rot2,288,265 (92.01%),265 (92.01%),243 (84.38%),17 (5.90%),17 (5.90%)
rot3,288,267 (92.71%),265 (92.01%),226 (78.47%),28 (9.72%),28 (9.72%)
train,72,66 (91.67%),66 (91.67%),61 (84.72%),32 (44.44%),32 (44.44%)
test,1080,1001 (92.69%),996 (92.22%),871 (80.65%),121 (11.20%),121 (11.20%)
summary,1152,1067 (92.62%),1062 (92.19%),932 (80.90%),153 (13.28%),153 (13.28%)
